ds_volume,threshold,layers,nodes_per_layer,alpha,lambda_t,steps,accuracy,cost_ts,cost_vd
1.0,0.5,3.0,14.0,2.0,0.01,200.0,84.08,1.5162394098799044,4.160383956362503
1.0,0.5,4.0,120.0,2.0,0.01,200.0,67.47999999999999,1.5162394098799044,4.785977113665781
1.0,0.5,3.0,14.0,0.1,0.01,200.0,37.28,1.5162394098799044,3.4376090163858963
1.0,0.5,3.0,14.0,1.0,0.01,200.0,83.91999999999999,1.5162394098799044,3.814707273883152
1.0,0.5,3.0,14.0,1.0,0.001,200.0,78.4,1.5162394098799044,6.431484645888423
1.0,0.5,3.0,14.0,1.0,0.1,200.0,9.44,1.5162394098799044,3.2555900722882147
1.0,0.5,3.0,14.0,2.0,0.012,200.0,81.96,1.5162394098799044,4.478653787328118
